VOTERPRE2012,PctPoorPersons_1980,PctPoorPersons_1990,PctPoorPersons_2000,PctPoorPersons_2011_15,PctPoorChildren_1990,PctPoorChildren_2000,PctPoorChildren_2011_15,PctPoorElderly_1990,PctPoorElderly_2000,PctPoorElderly_2011_15,PctUnemployed_1980,PctUnemployed_1990,PctUnemployed_2000,PctUnemployed_2011_15,Pct16andOverEmployed_1980,Pct16andOverEmployed_1990,Pct16andOverEmployed_2000,Pct16andOverEmployed_2011_15,Pct25andOverWoutHS_1980,Pct25andOverWoutHS_1990,Pct25andOverWoutHS_2000,Pct25andOverWoutHS_2011_15,PctHshldPhone_2000,PctHshldPhone_2011_15,PctHshldCar_2000,PctHshldCar_2011_15,AvgFamilyIncAdj_1980,AvgFamilyIncAdj_1990,AvgFamilyIncAdj_2000,AvgFamilyIncAdj_2011_15,PctChgAvgFamilyIncAdj_1980_1990,PctChgAvgFamilyIncAdj_1990_2000,PctChgAvgFamilyIncA_2000_2011_15,fs_client_2000,fs_client_2001,fs_client_2002,fs_client_2003,fs_client_2004,fs_client_2005,fs_client_2006,fs_client_2007,fs_client_2008,fs_client_2009,fs_client_2010,fs_client_2011,fs_client_2012,fs_client_2013,fs_client_2014,fs_client_2015,fs_client_2016,tanf_client_2000,tanf_client_2001,tanf_client_2002,tanf_client_2003,tanf_client_2004,tanf_client_2005,tanf_client_2006,tanf_client_2007,tanf_client_2008,tanf_client_2009,tanf_client_2010,tanf_client_2011,tanf_client_2012,tanf_client_2013,tanf_client_2014,tanf_client_2015,tanf_client_2016,Rate_crimes_pt1_violent_2000,Rate_crimes_pt1_violent_2001,Rate_crimes_pt1_violent_2002,Rate_crimes_pt1_violent_2003,Rate_crimes_pt1_violent_2004,Rate_crimes_pt1_violent_2005,Rate_crimes_pt1_violent_2006,Rate_crimes_pt1_violent_2007,Rate_crimes_pt1_violent_2008,Rate_crimes_pt1_violent_2009,Rate_crimes_pt1_violent_2010,Rate_crimes_pt1_violent_2011,Rate_crimes_pt1_violent_2012,Rate_crimes_pt1_violent_2013,Rate_crimes_pt1_violent_2014,Rate_crimes_pt1_violent_2015,Rate_crimes_pt1_violent_2016,Rate_crimes_pt1_property_2000,Rate_crimes_pt1_property_2001,Rate_crimes_pt1_property_2002,Rate_crimes_pt1_property_2003,Rate_crimes_pt1_property_2004,Rate_crimes_pt1_property_2005,Rate_crimes_pt1_property_2006,Rate_crimes_pt1_property_2007,Rate_crimes_pt1_property_2008,Rate_crimes_pt1_property_2009,Rate_crimes_pt1_property_2010,Rate_crimes_pt1_property_2011,Rate_crimes_pt1_property_2012,Rate_crimes_pt1_property_2013,Rate_crimes_pt1_property_2014,Rate_crimes_pt1_property_2015,Rate_crimes_pt1_property_2016
Precinct 95,35,21,19,22,26,18,33,30,28,13,6.7,7.9,8,22,51,60,44,44,52,45,36,18,96,96,57,63,47840,60804,66368,65666,27,9.2,-1.1,556,561,619,672,712,795,841,822,848,943,1024,1154,1197,1253,1281,1277,1176,321,342,372,364,383,438,461,456,442,457,468,449,453,481,495,501,481,26,25,27,30,24,32,24,17,26,19,22,20,25,31,27,29,30,56,54,59,87,56,39,42,55,87,48,55,70,64,52,64,66,69
Precinct 96,35,38,36,30,54,48,32,29,27,26,25,12,22,30,42,45,36,45,53,49,35,24,92,96,48,57,60890,47112,44291,64456,-23,-6,46,1515,1414,1282,1187,1132,1233,1310,1317,1341,1465,1530,1693,1727,1757,1741,1749,1613,941,895,818,712,671,712,745,717,696,714,746,710,693,667,639,666,610,21,25,18,20,12,17,18,32,37,38,44,30,14,23,20,22,13,51,32,44,50,39,31,29,81,116,105,101,98,38,43,42,38,31
Precinct 97,33,36,41,29,52,62,51,28,19,19,12,14,18,13,46,42,32,43,52,44,43,23,94,98,57,56,48928,55247,44838,53050,13,-19,18,905,796,846,896,956,1001,1001,915,900,993,1050,1117,1238,1279,1242,1273,1161,545,487,550,576,595,614,586,503,488,519,467,484,492,497,493,482,450,31,24,30,30,19,26,23,18,30,35,24,17,20,30,30,23,19,37,41,44,56,42,26,36,37,58,58,36,64,55,52,44,41,34
Precinct 98,23,25,32,25,38,49,45,19,20,14,9.5,10,15,16,50,52,39,50,50,41,36,21,96,99,61,59,52386,58419,48436,53904,12,-17,11,632,588,607,643,706,744,777,760,748,821,890,970,1066,1088,1084,1120,1033,349,343,379,385,409,417,411,384,380,393,375,384,411,408,410,401,380,19,19,24,19,21,17,9.4,20,17,25,19,28,17,27,29,18,16,49,63,62,74,54,41,55,60,62,41,48,51,42,45,68,56,47
Precinct 99,17,17,25,21,26,37,40,14,20,10,8.1,8.2,13,18,53,58,44,55,49,39,31,19,97,99,64,61,54545,60431,50999,54776,11,-16,7.4,430,426,425,451,511,541,591,614,604,659,730,811,886,895,911,946,881,212,235,254,248,273,274,281,286,290,292,293,298,334,327,332,325,311,34,32,23,27,25,30,25,27,34,41,34,33,38,41,35,35,31,59,99,54,67,55,49,62,85,92,75,62,52,54,60,71,63,67
Precinct 100,33,33,33,42,44,34,48,13,59,40,8.7,10,14,18,56,51,50,52,51,54,35,21,99,98,51,44,38049,33394,36095,27680,-12,8.1,-23,1091,937,980,984,1032,1098,1094,1075,1062,1136,1317,1440,1464,1617,1664,1741,1616,620,539,533,517,509,555,522,590,537,534,590,597,633,640,654,668,626,7.5,16,13,16,14,17,13,12,14,13,14,14,9.5,14,20,13,17,40,43,44,61,52,45,27,48,44,48,38,29,31,39,38,34,32
Precinct 101,13,9,15,9.7,15,17,3.2,13,18,12,8.3,10,11,14,53,51,44,54,44,34,31,9.7,96,99,71,69,62690,64499,66573,70935,2.9,3.2,6.6,505,416,433,513,542,589,610,567,636,730,801,884,935,988,926,939,829,273,230,227,272,282,281,292,263,257,300,287,291,328,353,324,300,250,6.5,16,12,8.6,8.6,11,7.6,12,9.1,9.2,6.1,7.6,7.6,12,4.1,2,6.6,32,32,37,61,35,27,20,25,35,25,22,28,24,19,32,32,18
Precinct 102,12,11,21,17,11,27,3.3,23,18,10,7.7,8.9,14,20,62,59,46,46,41,35,22,20,98,99,58,61,65141,65116,57905,74601,0,-11,29,403,437,457,546,609,600,690,729,872,1069,1002,1129,1138,1112,1114,1164,1108,220,236,241,288,336,325,308,364,378,425,378,357,346,292,301,329,303,21,25,22,27,33,23,21,27,20,24,26,24,32,34,44,34,28,67,65,60,82,78,45,51,51,60,52,54,48,87,94,131,104,125
Precinct 103,30,29,38,40,47,55,54,11,20,31,10,11,22,24,53,54,41,42,48,35,32,22,95,95,48,44,50394,46549,45427,38072,-7.6,-2.4,-16,1653,1650,1668,1748,1843,2015,2144,2036,2012,2302,2533,2797,2977,3099,3003,2948,2677,1125,1184,1244,1161,1162,1198,1240,1150,1132,1181,1135,1198,1210,1232,1183,1131,1008,24,19,22,16,21,18,12,14,13,15,14,11,14,19,15,20,11,44,43,46,45,37,29,25,31,47,29,29,35,31,30,35,30,23
Precinct 104,22,24,32,31,39,44,42,11,26,19,8.3,8.9,18,19,63,60,46,52,46,41,36,18,93,96,54,57,48455,50983,45028,50078,5.2,-12,11,1292,1340,1401,1551,1684,1687,1650,1550,1539,1932,2285,2558,2673,2950,2849,2793,2615,793,900,909,903,1008,946,888,797,780,907,991,1052,1055,1131,1132,1071,1004,21,23,21,22,15,17,18,18,21,24,23,20,18,25,24,20,17,41,38,44,51,44,33,32,48,48,34,41,39,45,51,54,52,42
Precinct 105,27,28,39,23,39,57,40,36,28,14,7.9,12,18,17,53,47,41,57,52,47,42,14,95,98,48,71,52543,51190,46499,59210,-2.6,-9.2,27,1154,1149,1091,967,763,765,746,759,852,1079,1344,1528,1566,1672,1529,1508,1374,678,708,660,522,420,423,396,383,435,512,587,609,583,587,573,560,520,24,28,22,11,14,11,12,8.7,11,11,17,16,9,15,11,8.7,7.8,45,51,65,74,37,26,31,41,44,36,30,36,29,36,37,34,32
Precinct 106,19,10,19,27,14,28,43,14,11,13,8.1,12,12,19,61,59,48,45,38,31,26,10,98,97,73,66,67290,72997,68901,48666,8.5,-5.6,-29,635,638,785,892,1056,1101,1092,1143,1168,1280,1563,1785,1931,1983,1934,1864,1712,408,412,513,533,625,618,580,599,577,588,624,698,706,690,680,618,585,12,12,18,19,14,18,18,17,17,19,18,13,12,18,18,12,14,37,43,56,69,47,40,33,33,41,30,34,35,44,35,46,30,40
Precinct 107,26,28,32,47,41,47,58,25,15,47,9.5,7.1,17,24,57,59,48,41,47,38,38,22,96,97,51,44,46890,45403,40507,38011,-3.2,-11,-6.2,901,953,954,986,1117,1181,1212,1156,1140,1363,1539,1783,1935,1985,1886,1893,1779,631,673,678,596,655,673,673,596,564,630,643,692,720,715,677,683,643,24,24,16,22,14,16,16,14,15,13,22,22,22,22,24,21,21,40,42,53,36,27,38,19,28,39,30,37,31,38,33,30,39,32
Precinct 108,3.5,5.6,7.7,11,9,7.8,5.4,5.4,7.2,17,5,3.2,7.6,11,67,62,52,53,25,17,14,6.4,99,95,87,86,99468,100473,109696,108784,1,9.2,-0.8,97,96,138,153,179,175,169,181,179,215,263,306,351,388,384,374,350,51,55,74,86,91,98,83,83,71,81,78,92,105,113,130,124,114,2.4,3,3.7,4.4,5.8,3.9,8.7,5.5,2.8,4.3,3.7,5.9,8.1,3.7,5.9,7.3,8.1,23,42,51,69,47,30,22,27,20,39,29,27,35,38,42,34,23
Precinct 109,2.6,5,6.9,9.8,6.7,4.7,1.1,5.4,7.2,16,5.1,2.9,7.7,10,67,61,51,52,24,17,13,5.6,99,94,89,89,102254,103010,111634,113051,0.7,8.4,1.3,44,45,69,77,91,88,86,93,91,106,130,150,174,193,192,186,176,23,25,37,44,47,51,42,42,35,39,37,42,50,55,64,61,56,15,25,21,11,8,7.8,11,4.7,2.7,2.7,4.4,6.1,10,2.6,2.6,5.2,7,39,55,62,84,56,40,24,66,47,48,44,25,53,43,45,45,52
Precinct 110,11,8.2,14,16,10,23,24,13,12,12,3.3,2.4,12,11,63,68,50,55,28,22,21,14,98,98,72,78,77138,87448,71853,71940,13,-18,0.1,424,462,518,564,669,753,800,821,906,1134,1362,1705,1886,1972,1897,1944,1851,229,259,304,272,311,328,343,320,365,425,439,474,484,467,465,500,493,10,13,8.8,12,11,11,9.2,11,12,10,8.3,13,10,12,13,7.3,9.2,41,50,66,78,54,36,37,44,39,39,30,31,44,33,38,35,38
Precinct 111,13,12,15,23,21,21,33,14,11,24,4.2,5,8.6,19,65,68,58,51,36,28,22,14,97,97,66,65,63842,69458,88682,60719,8.8,28,-32,536,461,511,571,581,652,679,693,711,897,1077,1280,1401,1490,1431,1387,1324,290,291,305,292,272,292,326,340,297,347,396,458,493,511,531,468,464,22,21,19,17,17,15,18,19,20,13,10,11,18,17,20,19,16,49,49,50,56,40,37,30,42,40,46,41,40,53,64,74,47,46
Precinct 112,9.7,12,17,29,18,24,44,10,13,27,5.5,7.4,9.2,14,73,68,60,53,29,27,23,13,98,98,63,52,64058,65093,62388,50718,1.6,-4.2,-19,427,382,376,442,401,436,442,502,558,692,867,1009,1112,1173,1197,1233,1101,288,239,218,234,222,197,196,200,208,252,301,332,351,386,435,430,387,16,10,14,12,7.9,10,12,10,10,8.2,9.9,6.6,14,12,15,13,13,47,46,55,39,36,34,32,24,23,28,21,18,26,28,33,28,27
Precinct 113,9.5,11,16,20,18,27,33,11,11,17,4.2,3.1,8,10,66,68,58,59,26,19,19,13,97,98,69,73,76814,81525,76196,75611,6.1,-6.5,-0.8,328,329,365,386,416,449,429,413,432,588,699,862,967,1013,980,964,872,178,194,213,187,198,213,212,197,196,246,261,308,314,318,335,311,289,14,22,19,14,18,17,12,17,15,10,19,15,16,14,13,7.7,9.3,60,70,65,89,51,46,42,50,46,44,38,49,58,51,42,48,45
Precinct 114,32,33,38,48,44,50,63,33,30,22,11,14,22,18,53,51,45,43,44,48,33,19,96,96,49,50,45733,44603,39566,41372,-2.5,-11,4.6,2023,1966,2181,2438,2705,2742,2741,2693,2901,3339,3628,3995,4294,4472,4357,4532,4545,1352,1356,1465,1662,1815,1729,1655,1490,1491,1561,1552,1522,1621,1594,1635,1623,1671,24,23,25,24,20,21,22,31,30,16,25,25,24,20,21,18,21,45,47,43,44,47,36,37,48,37,47,38,47,46,53,54,52,53
Precinct 115,26,36,49,52,49,63,69,30,39,27,7.4,14,22,24,60,44,41,32,46,41,36,21,93,96,43,44,42591,40911,34482,37806,-3.9,-16,9.6,1539,1477,1469,1620,1758,1693,1678,1636,1792,2028,2283,2603,2864,2948,2750,2719,2542,1009,1083,1078,1041,1109,1051,974,941,1038,1147,1195,1240,1317,1324,1278,1163,1126,21,27,28,18,22,22,19,17,13,15,11,17,19,19,16,14,12,26,25,32,38,37,29,22,27,25,25,27,31,39,32,34,29,33
Precinct 116,38,31,36,35,41,44,45,32,29,32,7.6,16,20,20,61,52,46,46,43,44,39,16,97,96,48,48,37807,43702,38148,35537,16,-13,-6.8,1966,1831,1900,2108,2227,2255,2212,2350,2538,2990,3378,3679,3926,4078,3948,3876,3558,1363,1340,1402,1479,1522,1546,1406,1393,1518,1706,1656,1680,1772,1790,1732,1556,1378,19,16,19,19,12,20,18,18,16,19,22,15,18,18,15,15,15,28,30,34,33,36,36,34,43,45,41,44,33,34,34,31,37,32
Precinct 117,42,41,63,40,54,73,51,62,34,34,17,17,50,28,49,49,20,39,50,50,55,22,97,94,31,54,40623,33772,32459,47594,-17,-3.9,47,1743,1388,960,834,994,1049,1033,1019,704,786,919,1179,1301,1303,1261,1277,1205,1200,1034,746,657,698,696,690,674,384,409,396,416,445,446,453,424,389,25,20,19,19,17,17,19,18,12,16,18,14,26,24,25,28,27,30,23,28,34,24,24,30,34,25,36,32,23,47,56,61,49,52
Precinct 118,20,33,44,28,43,58,31,18,18,15,11,13,28,11,56,54,41,56,50,43,39,15,98,97,50,54,47586,43091,32181,39186,-9.4,-25,22,2088,1883,2020,2166,2245,2256,2161,2122,2290,2500,2657,2898,3039,3186,3077,3115,2995,1511,1458,1454,1481,1551,1479,1396,1337,1391,1492,1398,1416,1461,1494,1497,1380,1335,21,18,22,19,15,13,16,23,25,21,19,19,20,19,16,16,17,21,24,31,41,25,32,26,40,35,33,37,38,29,32,24,35,25
Precinct 119,37,35,50,46,55,61,58,20,29,24,13,16,29,19,33,35,33,42,58,51,46,23,97,95,38,41,40135,40836,31906,31642,1.7,-22,-0.8,2186,2007,2062,2269,2323,2529,2573,2565,2623,2800,3022,3279,3470,3688,3515,3410,2959,1382,1392,1317,1320,1334,1407,1334,1251,1229,1265,1301,1407,1452,1512,1429,1269,1068,27,28,27,30,32,26,31,37,25,31,26,36,38,29,27,28,28,43,50,37,36,35,40,37,50,56,60,46,64,72,58,55,62,49
Precinct 120,24,32,44,41,40,58,60,28,17,12,10,17,22,23,56,54,37,39,44,40,33,20,93,93,50,47,42509,48563,36012,43321,14,-26,20,1729,1565,1627,1715,1681,1397,1297,1324,1310,1555,1781,1960,2058,2067,2098,2078,1882,1160,1117,1124,1154,1168,938,820,815,805,841,906,898,880,864,884,800,735,26,26,29,27,25,22,25,26,32,28,33,30,25,19,17,19,14,31,45,42,47,44,32,29,43,53,38,47,43,25,28,21,22,23
Precinct 121,37,36,38,41,52,48,56,13,7.3,29,14,19,23,30,55,48,44,42,44,48,36,21,95,95,54,53,42917,40713,42796,42248,-5.1,5.1,-1.3,2355,2230,2326,2445,2400,1971,1849,1791,1960,2245,2520,2653,2791,2846,2876,2869,2846,1644,1542,1608,1638,1535,1259,1057,1020,1095,1151,1226,1160,1117,1111,1137,1127,1158,23,28,26,31,24,24,19,24,20,19,18,18,19,17,13,9.9,16,40,39,33,38,37,28,31,39,33,29,30,29,26,31,29,33,26
Precinct 122,18,21,33,36,31,42,52,5.7,35,14,12,10,20,28,64,66,46,47,37,33,30,17,96,95,57,57,55230,52690,47324,49197,-4.6,-10,4,771,705,635,582,653,709,705,769,874,964,1117,1295,1279,1278,1216,1225,1115,517,496,428,389,388,416,410,435,452,461,500,537,494,458,437,387,383,21,28,21,21,18,16,22,23,28,20,19,28,18,24,17,17,18,39,40,49,35,38,32,40,50,60,59,66,65,36,41,41,37,37
Precinct 123,11,13,11,18,15,17,22,11,3.9,12,9.1,8.3,9.7,12,70,74,64,61,27,19,18,10,96,96,78,75,56213,62572,68693,74658,11,9.8,8.7,864,876,952,1042,1158,1203,1182,1191,1215,1444,1693,1927,2018,2155,2214,2167,2011,539,586,617,668,742,713,629,640,656,692,752,762,760,795,839,768,686,14,16,17,15,14,15,14,17,19,17,18,19,21,24,19,20,15,17,19,27,24,23,25,30,29,33,31,36,45,32,41,39,33,29
Precinct 124,22,20,31,42,28,49,58,19,16,31,10,11,19,27,64,63,48,44,31,37,28,15,95,97,55,56,51114,51369,50506,43352,0.5,-1.7,-14,931,866,911,988,943,993,1077,1111,1284,1523,1747,2037,2259,2432,2447,2592,2436,583,539,602,624,560,544,558,586,664,695,713,782,834,926,976,940,920,28,25,20,25,14,18,16,16,15,21,17,15,21,21,18,18,19,35,44,47,45,36,48,40,56,48,41,40,31,47,46,42,35,42
Precinct 125,28,32,39,37,42,46,49,35,26,26,11,13,22,34,63,56,42,42,38,44,39,18,94,94,49,42,43178,41210,47248,33980,-4.6,15,-28,2806,2567,2690,2927,3179,3273,3194,3057,3283,3935,4458,4865,5168,5343,5328,5268,5010,1863,1806,1896,1975,2071,2122,1861,1721,1828,2053,2166,2210,2286,2338,2297,2161,2182,28,23,27,29,22,23,17,23,23,25,20,21,17,16,14,15,15,36,35,40,43,40,35,42,51,48,47,46,36,38,43,30,32,34
Precinct 126,21,18,28,40,27,34,47,15,20,20,8.3,10,24,25,59,64,49,45,36,31,27,15,95,96,58,52,53605,55067,56641,53961,2.7,2.9,-4.7,1499,1394,1463,1629,1570,1673,1836,2052,2206,2597,3014,3329,3496,3691,3832,3908,3920,996,997,1049,1103,963,989,945,1096,1126,1172,1206,1259,1285,1314,1395,1370,1510,20,17,17,13,12,12,12,19,17,14,14,15,13,14,14,10,7.8,31,48,46,38,28,37,44,46,50,53,46,32,34,25,29,23,21
Precinct 127,29,23,25,19,50,38,38,12,26,9.4,8.1,10,9.6,7.4,58,65,49,61,27,19,26,8.5,98,97,61,62,71154,85128,53339,85337,20,-37,60,1103,1057,1042,1180,1278,1293,1285,1228,1361,1446,1625,1710,1750,1744,1697,1663,1469,648,642,597,652,699,676,666,611,635,676,697,679,657,627,591,521,456,12,9.9,11,11,11,11,13,14,12,7.7,8.4,10,7.5,7.7,6.8,6.5,9.1,33,30,32,25,22,28,25,29,24,18,23,23,28,32,22,23,31
Precinct 128,14,19,21,12,46,48,17,7.6,4.7,4,3.9,8.4,11,9,80,70,66,71,6.8,13,14,7.1,99,97,57,53,97618,76243,69995,110420,-22,-8.2,58,545,547,598,628,717,679,630,578,587,658,742,812,859,833,816,792,735,299,279,275,279,329,323,285,266,260,262,294,294,301,323,312,285,275,24,21,19,21,19,16,16,23,14,14,10,11,11,9.1,6.6,12,9.3,81,84,71,64,47,45,57,46,35,30,33,41,49,48,53,62,61
Precinct 129,38,32,23,14,38,24,15,54,39,21,7.2,14,6.5,5,55,57,65,80,53,49,32,11,96,98,51,52,47348,40950,81003,127164,-14,98,57,323,338,378,422,442,457,461,375,358,372,406,446,482,510,483,468,449,122,124,145,158,158,160,141,115,104,105,110,112,129,137,112,95,89,120,114,64,68,50,39,49,48,45,42,37,38,32,31,27,34,32,831,699,521,396,312,270,288,298,308,283,224,244,308,300,362,319,373
Precinct 130,10,4.7,4.7,7.9,2.2,5.7,2.1,1.5,5.5,0,2.9,1.3,1.3,3.1,78,87,85,81,11,3.6,2.2,2,99,97,76,70,110631,152749,182416,225909,38,19,24,20,20,16,15,14,14,16,14,11,15,20,23,23,23,18,20,14,6,6,5,s,s,s,6,5,s,s,5,s,s,s,s,s,0,13,12,10,5.2,5.6,2.5,4,1.5,4.4,3.9,3.8,4.3,8.1,5.3,5.3,3.4,4.8,103,94,82,66,26,33,29,55,49,42,31,46,60,52,56,47,56
Precinct 131,52,54,62,12,63,78,15,64,73,33,25,21,33,6,34,47,24,80,71,53,55,4.1,90,98,14,68,30467,34135,31337,133537,12,-8.2,326,819,815,777,804,529,221,111,101,127,164,208,273,318,417,434,435,403,470,446,396,400,258,109,45,21,28,31,36,36,47,101,111,98,99,60,69,69,58,35,28,13,9.2,9.2,8.1,6.8,5.7,8.6,10,5.4,8.2,13,267,296,208,137,109,91,116,77,53,44,44,47,53,58,71,79,96
Precinct 132,21,19,22,31,27,28,50,24,14,8.4,5.4,5.1,7.9,33,68,64,53,38,39,42,26,18,94,92,55,40,46206,53183,46726,43889,15,-12,-6.1,852,847,846,869,906,881,917,929,1023,1208,1347,1567,1708,1867,1790,1704,1588,535,568,569,485,480,468,428,415,444,526,526,558,607,638,600,555,548,18,18,22,19,14,12,13,11,19,14,13,16,22,20,23,17,13,43,41,61,55,35,32,26,28,42,35,32,32,41,47,41,46,35
Precinct 133,21,14,21,24,17,26,38,33,18,21,7.9,11,19,17,60,63,45,51,42,33,32,12,96,99,61,61,57232,69615,65006,59906,22,-6.6,-7.8,341,344,389,457,458,523,539,532,564,623,687,757,804,798,765,772,702,195,207,235,258,277,299,275,268,277,294,280,284,312,309,299,290,287,15,20,23,16,15,10,12,20,13,14,14,16,15,17,11,10,17,51,54,57,46,42,29,34,35,37,32,28,32,43,45,64,49,38
Precinct 134,26,30,40,50,43,55,63,22,39,38,7.2,15,19,25,59,49,44,35,41,41,31,17,97,95,51,51,47789,46794,45820,50043,-2.1,-2.1,9.2,995,983,1012,1079,1135,1125,1029,1022,1061,1234,1408,1611,1753,1822,1808,1778,1639,602,694,728,688,671,630,524,524,581,642,687,681,705,701,737,698,655,32,31,30,34,36,29,28,30,25,25,27,20,24,26,19,18,10,39,45,53,56,44,37,33,61,45,49,44,43,42,45,41,38,21
Precinct 135,20,14,24,9.5,12,35,6.1,15,23,6.9,8.6,10,14,6.3,51,59,53,80,48,33,28,4.9,97,99,66,74,62174,74828,71977,133424,20,-3.8,85,522,496,495,533,575,609,511,523,520,608,637,770,745,721,633,599,507,291,269,277,269,309,300,232,235,241,230,217,236,213,186,165,146,137,14,16,16,15,9.8,12,9.3,10,13,14,7.3,6.8,8.1,7.3,4,6.6,11,38,50,44,64,47,38,42,38,36,29,39,38,45,33,43,43,31
Precinct 136,4.2,7,6,6.4,0,0,17,14,3.4,0,2.9,1.9,3.6,2.3,75,78,78,82,9.2,6.7,5.5,1.7,100,100,69,62,125213,145222,167285,226260,16,15,35,s,s,s,s,6,s,s,8,5,s,s,5,s,s,s,6,0,0,0,0,s,0,0,s,s,s,0,0,0,0,0,0,0,0,3.1,8.6,2.4,4.2,3.6,3.6,1.8,4.1,2.9,4.1,2.9,6.3,2.9,2.3,1.2,1.2,0,39,35,34,40,23,25,20,28,33,26,20,23,21,9.8,12,10,9.2
Precinct 137,33,17,21,13,21,31,27,20,42,45,12,13,4.6,3.7,48,56,66,83,48,33,26,5.6,97,96,59,64,49374,62968,62811,204232,28,-0.3,225,120,100,101,102,95,84,85,77,81,87,102,122,127,118,104,95,82,55,54,46,51,47,36,31,26,27,24,26,21,22,25,18,19,12,37,46,43,37,39,35,47,45,38,34,35,45,55,42,29,35,34,226,158,185,138,199,161,155,171,203,163,117,125,187,215,214,231,257
Precinct 138,8.4,5.2,8.2,6.7,0,4.4,6.1,6,3.2,0.4,4.7,0.9,1,3.4,55,69,71,78,11,6.5,2.6,1.6,100,98,81,74,190423,272430,297215,278837,43,9.1,-6.2,6,5,6,7,11,11,16,10,12,18,23,28,22,25,31,30,28,0,0,0,0,s,0,0,5,s,6,s,10,5,6,7,s,8,0.7,2,2.9,0.5,0.5,1.4,1.9,0.7,0.9,0.2,1.4,0.7,0,0.2,0.2,0,0,24,23,18,26,26,16,17,20,19,17,10,17,9.1,7.7,6.8,9.6,6.1
Precinct 139,22,22,24,18,0,5.8,0,44,43,38,8.5,10,10,10,46,44,37,43,47,43,34,17,100,99,58,69,78053,81869,69733,85413,4.9,-15,22,253,234,234,249,258,277,296,298,313,358,435,554,628,663,605,640,688,67,66,68,72,74,81,96,74,69,65,88,99,106,114,96,91,117,5.1,3.8,9.5,6.9,9.2,6.7,5,11,5.3,7.8,2.6,5.5,5.1,5.5,2.9,4.4,2.9,28,37,30,45,42,28,28,42,53,48,56,41,39,50,60,36,37
Precinct 140,21,14,21,24,17,26,38,33,18,21,7.9,11,19,17,60,63,45,51,42,33,32,12,96,99,61,61,57232,69615,65006,59906,22,-6.6,-7.8,533,537,607,714,715,816,842,830,881,973,1073,1181,1256,1245,1193,1205,1095,304,324,366,402,432,466,429,418,432,458,438,444,487,483,466,453,448,24,27,24,24,19,27,29,18,20,19,18,20,29,33,23,25,24,61,66,47,46,30,26,34,36,45,40,34,43,57,66,65,57,56
Precinct 141,23,12,13,7.3,20,34,16,33,24,24,5.3,2.8,3.3,5,60,78,80,85,31,23,15,6,99,96,52,51,59110,90341,122304,137867,53,35,13,192,185,184,171,183,179,167,149,140,161,204,219,220,219,202,170,155,85,79,67,65,71,70,59,59,48,45,50,42,42,45,35,25,21,13,11,7.8,8.6,9.1,8.4,8.7,13,8.5,8.6,9.1,6.8,7,10,5.7,3.9,4.4,46,47,50,53,46,41,57,50,47,56,42,57,67,55,75,67,69
Precinct 142,3.7,5.8,12,6.9,0,38,30,6.5,8.6,3.1,2.9,2.8,4.8,5.2,84,78,71,75,3.6,2.6,5.3,5.3,98,97,67,66,149921,120656,118261,138594,-20,-2,17,35,33,44,38,54,45,40,38,44,40,53,55,56,60,45,50,46,16,16,21,21,22,19,12,10,12,11,10,8,7,7,s,s,s,15,18,15,12,11,15,23,15,12,11,11,13,5.7,10,7.2,5.3,4.8,159,166,101,88,102,106,117,87,87,93,67,67,71,71,77,66,65
Precinct 143,25,40,33,15,19,33,15,64,56,27,10,19,14,5.4,59,46,56,76,42,38,33,9.4,98,98,45,45,70398,39521,106929,185830,-44,171,74,467,409,456,573,638,645,593,411,334,346,355,385,377,371,344,339,306,48,39,44,47,47,40,32,29,16,15,15,19,25,24,23,21,20,31,27,24,22,12,10,11,13,12,8.9,8.1,11,11,8.4,9.1,8.6,9.6,273,199,175,105,64,58,69,65,56,48,43,57,73,63,72,58,76
